destination,Afghanistan,Albania,Algeria,American_Samoa,Andorra,Angola,Anguilla,Antigua_and_Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia_(Plurinational_State_of),Bosnia_and_Herzegovina,Botswana,Brazil,British_Virgin_Islands,Brunei_Darussalam,Bulgaria,Burkina_Faso,Burundi,Cape_Verde,Cambodia,Cameroon,Canada,Cayman_Islands,Central_African_Republic,Chad,Channel_Islands,Chile,China,Hong_Kong,Macao,Colombia,Comoros,Congo,Cook_Islands,Costa_Rica,Côte_d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem._Rep._Korea,Democratic_Republic_of_the_Congo,Denmark,Djibouti,Dominica,Dominican_Republic,Ecuador,Egypt,El_Salvador,Equatorial_Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland_Islands,Faeroe_Islands,Fiji,Finland,France,French_Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle_of_Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao_PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall_Islands,Mauritania,Mexico,Micronesia,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New_Caledonia,New_Zealand,Nicaragua,Niger,Nigeria,Niue,Macedonia,Northern_Mariana_Islands,Norway,Oman,Pakistan,Palau,Panama,Papua_New_Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto_Rico,Qatar,Korea,Moldova,Romania,Russia,Rwanda,Saint_Kitts_and_Nevis,Saint_Lucia,Saint_Pierre_and_Miquelon,Saint_Vincent_and_the_Grenadines,Samoa,San_Marino,São_Tomé_and_Principe,Saudi_Arabia,Senegal,Serbia,Sierra_Leone,Singapore,Sint_Maarten,Slovakia,Slovenia,Solomon_Islands,Somalia,South_Africa,South_Sudan,Spain,Sri_Lanka,State_of_Palestine,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad_and_Tobago,Tunisia,Turkey,Turkmenistan,Turks_and_Caicos_Islands,Uganda,Ukraine,United_Arab_Emirates,United_Kingdom,United_Republic_of_Tanzania,United_States_of_America,United_States_Virgin_Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela_(Bolivarian_Republic_of),Viet_Nam,Wallis_and_Futuna_Islands,Western_Sahara,Yemen,Zambia,Zimbabwe
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15031,,,,,,,,,,,,,,,,,,751,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31596,,,,,,,,,,,,,,,,,,,8896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961,,,,,,,,2373,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,,,,,743,,,,,,,,,,,,,,,1382,,7256,,,,707,,,2161,,,,1144,,,,1171,,,2225,,,,,,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767,,,,,,,,,3757,,,,,,,,,11076,,,,,30319,1527,,,,2941,,,,,,,,,,,,,,764,,1046,,,,,,,,158854,2263,,
American_Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724,,,,,,,,,,,,,,,1115,,,,,295,,,,,,,,,15813,,,,,,,,,,,,,,,,,,,,,,,,,,,1288,,,,,,,,,,,2548,,,,,,211,,,,,
Andorra,,,,,,,,,682,,,65,,,,,,,,215,,,,,,,,,,,,,,,,,,,,,,214,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,3890,,,,,339,,,,,,,,,,,,,,,,,,,,,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,,,,,,244,,,,,,,,,,,,,,,,,425,,10697,,,,,,,,,,,,,,,,,,,,,,,,,,,20577,,,,,49,80,,,,,,,,,,,,,,,1054,,105,,102,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8877,,,,,,31,,,,,,,,1021,,,46,,,,,,,77548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,859,,,,,,,,,,,,,,,,,,,,,,6012,,,,,,,1215,,,,,,,6601,,,,,,,,,,,6064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,653,,,,,,,,,,,,,,,,,,,,,,,,,,,382,,,,,,,,,,,,,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,,454,406,,,,,,,,,,
Antigua_and_Barbuda,,,,,,,39,,,,5,7,,,2,,,302,,,14,,14,,,,,,98,,,,,,,,434,,,,,,134,,,,,,,,,,20,19,,,,,,,4745,1784,,10,,,,,,90,,,,,41,,,,,83,31,,,192,,,,,6472,33,7,,,79,,,,,,,72,3990,20,,,,,,,,,55,,,,,,,,,,,,,,5,,,,,1138,,,,,,,16,,12,,,40,,,,,,0,,,,,,,,,53,,,,,,,476,676,,918,,,,,,,,,23,,,,,45,,12,,,,45,,,244,,,,,,720,,,,6,,,,994,,2626,711,,,,39,,,,,,
Argentina,9,66,104,,1,9,,,,561,1,275,1022,,,12,,7,304,537,6,,,,419048,,,48792,,1,295,11,,24,20,,530,,,,,213119,14397,4,,8640,,42,,123,1,986,1106,,47,1793,14,,245,,4,684,955,238,73,,,49,,32,,,1,70,8160,,,,,9242,,1017,15,11,,96,1,,,41,66,816,8,97,21,137,37,64,,557,152338,11,4453,73,,2,,,,283,124,791,,,51,78,392,96,7,,2,,2,,,1450,4,10,,,,212,11,9,2,,,387,,11,91,1,43,,1489,,58,,5,,161,,679044,195320,58,7315,4961,75,,8154,456,1078,1884,,,,,,,16,,80,,,,2,,,810,,2,126,,98050,2,,8,5,204,794,1125,,60,,,,34,45,635,,,1,4408,,943,1,5135,,132749,,8,1240,5,,,,1,2
Armenia,,,,,,,,,,,,,,78908,,,,,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38094,635,,1021,,,,,,,,,,,,,,8135,1033,,,,,,,,791,,,,,,,853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19170,,,,,,,,,,,,,,,,,,,,,,,,,,,,17538,,,,,,,,542,816,,,2464,,,,,,,989,,,,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1127,,,9762,,,,,,,,2455,,,,,,,107,4327,,,,,,,,,,,,,,,,,,,,,,258,,,,,289,1632,,,,330,,,,,,,,746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4585,,,107,,,,,,,,,,,,,1134,1004,,164,,,,,,,,,,,113,,,,,,,,,701,,,,,,,,,,,1337,,,,,,,,,,,10,,,,,,,,612,,,,,3399,,,,,,
Australia,49550,3460,1600,120,20,560,,60,15510,1460,70,,17990,650,310,1730,43090,450,2180,7290,80,110,580,5850,1050,36750,1320,26790,0,2890,3930,60,2390,40,34420,450,52590,130,30,70,,30180,508870,95050,2780,19810,,1610,8040,500,600,61820,880,150,20100,13240,220,4270,10230,190,40,210,2810,44680,11350,,4660,3440,390,13130,120,30,72600,9210,36670,530,50,130,620,119100,5900,115820,,140,120,540,940,20,660,120,320,21120,610,449040,77000,61690,70870,90530,810,11240,198510,1290,47560,6530,1920,19720,650,6580,490,11030,4990,93290,150,3520,2790,20,3370,250,290,1400,143420,80,44070,50,60,5390,40,80,1780,2030,,2170,1010,32160,1430,690,50150,80620,1560,575430,860,30,8360,940,49990,0,4360,1560,62270,,250,,500,11270,241130,54530,19140,170,1100,106550,1160,17070,25760,980,19,13,,47,27780,,,14480,430,33820,3990,59480,,6720,8060,2300,8650,177390,7480,17730,119700,3190,19730,170,11480,14190,14170,160,66400,10000,370,11880,1910,660,39710,100,,3800,17090,8090,1206060,4500,104650,,10580,1840,1380,5760,235590,,,710,7310,40170
Austria,8620,3147,1290,,2,341,,7,1523,3051,,2490,,1076,22,21,2737,21,1667,2575,41,80,19,24,509,155164,25,5186,,6,15733,121,97,41,958,654,2547,,29,12,,1258,17713,281,17,1570,,457,,179,213,40006,879,,325,54997,2687,700,1418,7,51,3125,662,14891,68,10,104,372,23,1276,,,18,1598,8964,,24,628,3316,223705,2474,4003,,15,1,372,303,68,19,63,98,44468,188,13576,1214,15495,5524,985,,2562,29738,208,2970,749,1103,982,,253,648,124,806,1841,4,274,459,378,909,763,75,38,483,99,108,,33,1512,1,24,1804,21842,,1926,67,71,183,1,588,8476,,443,208,31,8485,,21921,,966,31,4814,1,62,60,229,1688,13856,65989,1723,6,25,125,1779,70267,30972,211,2,14,,10,4,1,2,477,335,195177,267,286,,27170,17908,14,1215,2792,,4122,981,277,635,20,3551,15802,3320,284,5604,,219,7,70,3690,184847,140,,274,8232,176,11013,157,11054,,282,754,7,915,3344,,,95,113,298
Azerbaijan,186,,,,,,,,,148503,,,,,,,,,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,,,,,,,,,,,51141,285,,,,,,,,,,,,,,,,1530,,,,,,,,,3621,,,,2556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,,28760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,,,,,,,2121,1724,,,2817,,,,,,,17030,,,,,,,,
Bahamas,,,,,,,,14,111,,,83,40,,,,,238,,30,44,,39,,,,14,121,3,,21,,,,,,1567,23,,,,35,172,26,,193,,,,54,,,401,,,,,,16,,75,291,43,31,73,,,16,12,,,,,,143,,,,,289,48,91,,33,,35,,,1335,27591,43,,,598,33,,,59,,,158,7503,35,,,21,,,,,,,,,,,,,,,,,,,,134,,,,,,,,,,,,54,,24,10,,160,,,,12,,0,,52,,,314,1117,20,16,,,,,102,56,,34,78,,40,,,,,,,,,,,,,,104,,111,39,,,,29,307,,,,,,,390,,,,1545,12,18,,1993,,9664,,17,,,30,,,,,,15
Bahrain,656,,,,,,,,,,,,,,,,78396,,,,,,,,,,,,,,,,,,,,,,,430,,,,,,,,,,,,,,,,,,,,,,,,80889,,,1550,,,678,,,,,2027,,,,,,,,,,,,,,,,,,,302635,22513,,,,,,,,,14493,,,,5409,,,,4508,,,,,,,,,,,,,,,,,,,,648,,,,,3789,213,,,,,1952,,,,,,74710,,,,,,48059,,,,346,,,,,,,,,,,,,408,,,,,,,,,519,,849,,9841,4671,7522,,,,3044,,1159,,,,,468,2170,,,,,4041,1657,,1120,,,,,,,,,15003,,
Bangladesh,,,,,,,,,,,,,,,,30160,,,,,,,,,,,,14919,,,,,,,19642,,,,,,,,162772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34431,152862,,,,,,,,13763,,,,,,,88155,,,,,,,,,,,203561,,,,,,,,,,,,,237369,,,39059,,,,,,,,,,14311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9583,,,,,,,,,,,,,,,,,10548,,,,,,,,,,,,33470,,46008,,,,,,27521,,,,,
Barbados,,,,,,,,194,,,,24,,,49,,,,,,22,,28,,,,,,,,,,,,,,689,,,,,,43,,,,,,,,,,58,,,,,,,,337,,,,,,,,,,,,,,,,,,,,,,,389,,,,,6594,33,,,,463,,,,,,,,994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,2177,,3114,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,1490,,,,,,,,2509,,1034,,,,,,,,,,,
Belarus,282,,53,,,,,,102,5728,,28,59,13493,,,,,,36,,,,,,,,94,,,61,,,,,,155,,,,,,,,,,,,,,,,44,,,96,60,,199,,,,,,,,,3243,,25,,,,2111,,,,,8507,66,,108,,,,,,,,,,342,,48,,49,,24,,387,24,,,30,69957,,,,5234,,10486,65,,,,,17385,,,,,,,,,,,,168,,,,,,,,,,,,,,,,,,61,,47,,,,,,,478,,,,29,7608,23,682362,,,,,,,,,,,35,,,,27,,,,,,35,,,,,340,29,83,5679,,,,,,,25,5464,,,225734,23,461,,87,,28,14788,,,366,,,33,,
Belgium,12819,9380,25666,,,6327,,,2261,1413,,1487,3296,202,15,52,2706,17,481,,,1387,,280,1152,521,45,12618,,,28749,1348,6824,735,1444,16056,4917,,411,496,,4223,19048,,,6119,,4084,,284,5642,249,1724,,488,657,131,83629,2405,1212,147,2666,6145,4322,547,82,248,729,,4056,,,26,2560,182214,,614,711,499,81532,8956,16193,,,,832,12984,276,92,1925,261,8032,233,19815,3354,10554,11076,3333,,3532,119955,397,4677,1061,1051,1420,,258,334,1149,1218,6349,17,916,737,5,1512,13351,2079,95,719,940,435,,2172,2375,,134,778,15,,208072,447,224,67,0,3529,128544,,386,302,1778,5539,,1290,,1164,32,11995,0,171,35,447,3593,10423,73447,34303,,,4306,775,65150,6904,13990,,,,,,14,85,485,5404,343,1964,588,,1307,154,,3319,3596,,46030,1901,660,1047,3017,3342,5048,10860,48,8668,,5502,,,13996,98250,9,,667,1394,,22484,615,15979,,490,395,,1511,8206,,,201,338,459
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807,,,,,,2048,71,,,,,,,,,,,,,,,,,,,,,8828,,,,,,,,,,,,,,,68,,,,,,23580,,,,54,8624,,,592,,,,,,,,496,,,,,,,,,,54,,,,,,,,,,,,,,3523,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409,,4097,,,,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,,,,,,,,969,,,,,,,,3783,,,31920,,,,,,,,,,,,,,,,,,,,,,,,1304,,,,,,15076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3260,,,,,,,,,,,,,,,,,,,,72579,80960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105441,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,69,32,,,,,,,23,,,,,,,,,,,,,,,,,2302,,,,,,350,,,,,,,,,,30,,,,,,36,,,21,,,,,,,,,,,,,145,,,,,249,125,106,,,,,,,102,1680,,,,529,,,,102,,75,73,609,674,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,188,,,,,,37,,,,,,411,33,1622,,,,,26,,,,,,,,,,,,,,,,,,,,262,,130,,,,,,125,,,,,,,68,,144,,83,,,,4061,,3527,,,,,,,,,,,
Bhutan,,,,,,,,,,,,27,,,,,52,,,,,,,,,,,,,,,,,,,,37,,,,,,906,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,30,,,,,27,,,,,,,,,,,,,,44732,,,,,,,13,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,717,20,,24,,,,,,,,,22,,,,,,19,,,,,33,,,,,,,,,,,,,,,,18,,,,,,,,,33,,,,23,24,,,61,,,,,,,,,,,,36,,136,,,,,,,,,,,
Bolivia_(Plurinational_State_of),1,1,3,,0,6,,0,42691,5,2,228,159,1,0,0,28,0,5,377,905,1,0,,,10,,25688,,,24,,0,128,0,12,1380,,65,0,,4730,1127,2,,2964,,7,,146,3,38,1770,167,2,52,10,3,107,,3,116,1002,21,127,,0,6,,2,,,0,40,1237,,0,,2,2022,14,26,,0,,142,9,,5,15,231,27,2,107,10,62,10,77,2,182,1427,7,1660,16,23,14,,5,5,0,0,37,0,2,3,0,9,6,5,7,8,1,5,,1,9522,,0,1,2,,24,3,0,,,6,382,0,64,111,0,13,1,12,,97,0,23,,109,1,4285,11282,47,218,175,38,1,505,8,72,328,1,0,,0,,,,,13,8,21,2,1,48,20,9,1,3,17,,12181,2,13,2,0,293,659,2,1,9,,1,0,5,1,37,0,,0,114,0,903,5,4896,,509,5,0,773,12,,,0,2,3
Bosnia_and_Herzegovina,,,,,,,,,,,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12776,,,,,,,,,,,,,,,,,,,,,,,174,,,,,554,,,,,,,,,,,,160,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4398,,,,,,,,,,,,,,,3079,,,,,,,,,,,,,,,,,406,177,,,,,,,,,,,10222,,,,3389,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,,,,,,731,,,,,,367,,,,,,,,,,,,,,,,,,,,,,,,,174,,,,,,4475,,,,,,,,,,,,,,,1058,324,,,,,,,,,,571,,,,,,,,,,,316,,,,,,,,,,,,,,5293,,,,588,,,512,,,,,1135,,,,,,,261,,,,,,526,1386,,,,,,,,,,,,,567,,927,,,598,,,,,1156,,,,367,,436,,,,,,,,436,,,,,,,,,,,,,,,,,,,,,,,,,5370,,,927,,,,410,,,,,,,,,,,,,305,,,1233,764,862,,,,,,,,,,4136,60205
Brazil,69,,219,,12,7694,,,34699,63,,703,2791,,18,31,54,33,10,2022,6,31,,,46336,82,,,,170,284,30,25,1426,33,166,1894,,13,,,18422,23156,,,8179,,95,,461,396,683,2479,,,533,172,116,589,,25,372,2065,3720,272,66,,217,,12,,,,617,11411,,36,,76,19389,73,1839,,31,,348,69,1128,2264,65,151,1821,576,1052,869,638,609,205,,2401,44366,165,58564,1258,29,54,102,24,,6,169,14726,,41,114,19,754,64,42,11,145,7,33,,,3198,,151,,26,,606,1702,14,58,,60,3968,,326,438,16,1335,,46,,685,23,307,24,621,,46857,17931,426,4157,164705,,,10239,,2036,1656,16,36,173,,35,,41,70,391,222,517,7,137,,253,211,,,1894,,36691,,,,325,757,3563,2461,8,549,59,11,,224,95,432,25,,77,875,39,5905,105,21068,,28708,31,,3425,152,,,,,122
British_Virgin_Islands,,,,,,,,757,,,,23,,,25,,,183,,,,,,,,,,,,,,,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,1230,1709,,,,,,,,,,,,,23,,,,,58,,,,,,,,,2266,,,,,39,,,,,,,,1901,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,525,,,,,,,1360,516,,2205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403,,,,,,,,800,,1722,,,,,,,,,,,
Brunei_Darussalam,,,,,,,,,,,,515,,,,,1234,,,,,,,,,,,,,,,,,,,,,,,,,,2055,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3081,6165,,,,,,,,204,,,,,,,,,,,,,,,,,,48285,,,,,,,,,,,,,,,,5344,307,,204,,,,,,,,,821,,,,,,13457,,,,,153,,,,,,,,,,,,,,,,1541,,,,,,,,,1234,,,,,,,,14384,,,,,,,,,,,,2055,,153,,,,,,,,,,,
Bulgaria,330,1130,396,,0,9,33,5,112,1565,5,228,918,1886,4,15,545,4,803,1481,2,27,1,23,18,116,26,137,67,1,,12,16,6,12,14,552,3,,5,,22,1236,,,41,,11,,7,13,108,275,,1008,1186,33,14,229,3,0,46,17,239,8,,3,73,2,56,,,1,147,1781,,11,9,404,5533,16,7166,2,,,4,10,4,4,5,2,356,16,286,43,346,942,244,,555,2830,5,181,229,1515,18,4,114,165,1,169,755,,5,239,2,134,73,2,,3,5,71,1,2,61,,8,90,27,,106,35,,5,2,8,1040,,47,31,1,141,,2742,,262,4,156,,7,2,2,29,82,1648,387,,32,159,2363,4612,24416,2,,,,,5,6,,63,12,2318,1,16,,341,94,,18,214,,5240,13,42,46,1,312,396,8318,151,34,,,1,,110,9284,285,3,7,7039,151,6738,11,2431,,18,770,16,38,635,1,0,52,11,30
Burkina_Faso,,,,,,,,,,,,,,,,,,,,,,4178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43815,,,,,,,,,,,,,,,,,,,,12757,5170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4033,,,,,,,,,,,,,,,,,,,,,,15393,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167768,,,,,,,,,,,,,,,,,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,891,,,,28008,,,,,,,,,,,,
Cape_Verde,,,,,,370,,,4,,,,,,,,,,,10,,,,,,,,286,,,,,,,,,,,,,,,23,,,,,,,,7,,85,,,,,,,,,,,,,,,,,,,,,,201,,8,5,,67,42,,,,,,413,5015,,,,,,,,,,,,,407,,1,,,,,,,,,,,,,,,4,,,,7,,,,3,,,,,,,26,,,,,37,,,,,670,,,,,,,,,,,3,,,1159,,,,,,698,,,,,,,,1712,,1478,,15,,,,,,,,,143,,,,,,13,,,,8,,,,,,,,,22,,52,,351,71,,,,,,,,,,
Cambodia,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,1518,116,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,275,,,,,38,,,,,,,,,,,,,,95,105,,,,,,15,,125,,,,,,,260,,,,,,,,,,,172,,,,,,,,,,,,,52,,,45,30,,,,,,,,,,,41,,,,,,152,,,,,56,,,30,,,,,,,,,,,,,123,,,,,,,,,47,,,,,,,,30806,,,,,,,,,,,,92,,195,,,,,,36436,,,,,
Cameroon,,,,,,2613,,,,,,,,,,,,,,,,2454,,,,,,,,,,,,,,,182,,265926,34740,,,,,,,,3020,,,,,,,,,,4170,,,,,,,,3433,,,,,,,,,4720,,1079,,,300,,195,,,,,4681,,,,,,,,,,,,,,519,,,,,,,,,,,,,4351,,,,,,,,8388,,,,,,,,,,,,,,,,162,,,,10741,134610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,,837,,,,,,,,,,,
Canada,51641,15270,64223,,,3100,64,2295,19310,4139,571,20980,15747,3821,1624,2375,58374,14008,11121,18823,1982,2748,1833,4218,4368,35908,844,29135,84,4457,18515,1967,8418,163,23177,18456,,268,1048,1585,,26541,645278,207658,5714,69610,134,2444,,3925,11255,39799,17740,467,3990,20930,775,25492,12433,2221,2762,10535,14873,64223,47785,59,14917,3180,397,32588,,,24513,9466,104922,178,1068,665,2554,144950,22769,62330,,10202,,17169,5158,109,87142,92911,7737,36594,586,664465,14192,153473,68065,28151,,26571,235183,137496,27072,13208,12373,26988,,15141,2956,14386,5843,88200,104,2459,6261,,4949,670,3528,665,23644,2082,7419,,899,80090,,109,1411,1853,606,69227,1242,8164,1028,,14301,87932,218,9819,9809,1023,42169,,10236,,3856,1530,201014,,2598,233,7255,29433,584697,145571,138589,501,2474,122548,17497,89756,78202,6067,2092,6057,288,12865,159,,,19956,7463,33120,3021,11742,104,14316,8164,,27067,44386,5506,10634,131185,8159,10753,1043,6589,18923,52635,1301,14982,,3329,139,64636,17328,26546,496,59,13128,72582,20866,496059,20473,252159,89,6494,6345,,20652,168212,,,2941,3692,10430
